iter	Passed	Remaining
533	7987	6970
534	8002	6955
535	8015	6939
536	8030	6924
537	8046	6909
538	8063	6896
539	8076	6880
540	8090	6864
541	8105	6849
542	8120	6834
543	8135	6819
544	8150	6804
545	8164	6789
546	8177	6772
547	8192	6757
548	8207	6742
549	8222	6727
550	8237	6712
551	8252	6697
552	8266	6682
553	8281	6667
554	8293	6650
555	8307	6634
556	8324	6620
557	8339	6605
558	8355	6591
559	8371	6577
560	8385	6561
561	8401	6547
562	8416	6532
563	8431	6517
564	8444	6501
565	8459	6486
566	8480	6476
567	8499	6464
568	8516	6450
569	8530	6435
570	8546	6420
571	8559	6404
572	8572	6388
573	8587	6373
574	8603	6358
575	8619	6344
576	8633	6329
577	8649	6314
578	8663	6299
579	8677	6283
580	8693	6269
581	8707	6253
582	8721	6237
583	8734	6222
584	8752	6209
585	8767	6193
586	8780	6177
587	8795	6163
588	8810	6147
589	8824	6132
590	8840	6117
591	8855	6103
592	8868	6086
593	8883	6071
594	8898	6056
595	8913	6041
596	8927	6026
597	8942	6011
598	8958	5997
599	8974	5983
600	8989	5968
601	9004	5953
602	9019	5938
603	9034	5923
604	9049	5908
605	9064	5893
606	9079	5878
607	9094	5863
608	9108	5848
609	9123	5832
610	9137	5817
611	9150	5801
612	9165	5786
613	9180	5771
614	9194	5756
615	9208	5740
616	9223	5725
617	9238	5710
618	9251	5694
619	9265	5678
620	9280	5664
621	9293	5647
622	9308	5632
623	9322	5617
624	9336	5601
625	9351	5587
626	9366	5572
627	9382	5558
628	9396	5542
629	9410	5526
630	9425	5511
631	9440	5496
632	9457	5483
633	9472	5468
634	9489	5454
635	9505	5440
636	9522	5426
637	9535	5410
638	9550	5395
639	9565	5380
640	9580	5365
641	9595	5350
642	9609	5335
643	9625	5320
644	9643	5307
645	9663	5295
646	9678	5280
647	9692	5265
648	9709	5250
649	9723	5235
650	9738	5221
651	9754	5206
652	9769	5191
653	9781	5174
654	9795	5159
655	9809	5144
656	9824	5129
657	9840	5114
658	9855	5099
659	9871	5085
660	9885	5070
661	9898	5053
662	9910	5037
663	9923	5021
664	9937	5005
665	9949	4989
666	9962	4973
667	9976	4958
668	9989	4942
669	10003	4927
670	10016	4911
671	10029	4895
672	10041	4879
673	10055	4863
674	10071	4849
675	10107	4844
676	10125	4830
677	10143	4817
678	10160	4803
679	10177	4789
680	10194	4775
681	10209	4760
682	10224	4745
683	10240	4730
684	10254	4715
685	10271	4701
686	10286	4686
687	10302	4672
688	10315	4656
689	10328	4640
690	10342	4625
691	10357	4609
692	10369	4593
693	10383	4578
694	10398	4563
695	10412	4548
696	10428	4533
